variant_id,period,decision_date,actual_execution_date,role,ticker,raw_close_cache,official_raw_close,official_market,official_source_quality,official_source_hash,official_raw_ready,official_no_trade_ready,official_no_trade_classification,official_no_trade_reason
crash_dd20,P1,2020-03-06,2020-03-09,sell,2454,366.5,366.5,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,525cff27f800a72f3ce89df3e16cfddcc178edebdae2c49063aff3f75c0b0149,True,False,,
crash_dd20,P1,2020-03-06,2020-03-09,buy,00631L,2.016819953918457,44.37,TWSE,official_twse_selected_ticker_month_close_only,be9327b13cd210dfbda2f075cccc12f3397df091bacb99022b169cb4692e40c6,True,False,,
crash_dd20,P1,2020-07-10,2020-07-13,sell,00631L,2.613640069961548,57.5,TWSE,official_twse_selected_ticker_month_close_only,412b8ca361802df16e49d125f0e3606c484f5999f29b3c0e8146547ae8930141,True,False,,
crash_dd20,P1,2020-07-10,2020-07-13,buy,3231,34.20000076293945,34.2,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,b638c9ca4a88bd011bb98a7cc782d0ddcfb6419cb1b9cfd110da104a748ddf06,True,False,,
crash_dd20,P1,2020-07-24,2020-07-28,sell,3231,33.25,33.25,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,14473cc255fc4ad8355f3d88fe7a661d8fc0b9f26268395ad2ef9736e7326e48,True,False,,
crash_dd20,P1,2020-07-24,2020-07-29,buy,2330,422.0,422.0,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,7b6b96247007e7157729a09f3208cff193231536162a71daa110580f925c255b,True,False,,
crash_dd20,P1,2020-08-21,2020-08-24,sell,2330,428.0,428.0,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,7cd4163ae9fbbfecdd0173406eefeee102c17fed29f9897354b5493d3bda5b2b,True,False,,
crash_dd20,P1,2020-08-21,2020-08-24,buy,00631L,2.900000095367432,63.8,TWSE,official_twse_selected_ticker_month_close_only,5cdc166b65ac33e77184c7dc4b331ef2b8786e7b9ce805b72e7f70e4d571169b,True,False,,
crash_dd20,P1,2021-04-09,2021-04-12,sell,00631L,5.452270030975342,119.95,TWSE,official_twse_selected_ticker_month_close_only,df0084ff09977e7b03115dfa2c6facc31b7e8148f3829e9e87f3db15c368521f,True,False,,
crash_dd20,P1,2021-04-09,2021-04-12,buy,2382,97.4000015258789,97.4,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,97faa294772056538709fb80ea975daf503b4921cfa3cf463f7925b1dad65eb3,True,False,,
crash_dd20,P1,2021-04-23,2021-04-29,sell,2382,98.4000015258789,98.4,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,694912f2a057e64a2b4b3a0532c0123af8fad1c7ae87a0a9a3e28ef52da338a1,True,False,,
crash_dd20,P1,2021-04-30,2021-05-03,buy,2454,1105.0,1105.0,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,18620e83a76d413bedffeea5b5c8200fc822cd7a0fd0be008297f84630dda32a,True,False,,
crash_dd20,P1,2021-05-14,2021-05-18,sell,2454,994.0,994.0,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,b28b7cfd36ba6a4161acd7330adfad09b3cc712013dedf8bd723df7d6590e089,True,False,,
crash_dd20,P1,2021-05-21,2021-05-24,buy,00631L,5.113639831542969,112.5,TWSE,official_twse_selected_ticker_month_close_only,79e6b1243fd97409f45052a3cd56c4a4848a0e3394e055828b500a28ebb0c5a9,True,False,,
crash_dd20,P1,2022-07-08,2022-07-11,sell,00631L,4.243179798126221,93.35,TWSE,official_twse_selected_ticker_month_close_only,4d3b838221ba333695a198f1108c92906f03dafc856dd6d7f5b3b6d13dec06aa,True,False,,
crash_dd20,P1,2022-08-19,2022-08-22,buy,00631L,4.952270030975342,108.25,TWSE,official_twse_selected_ticker_month_close_only,37787a6f0bc98009ab8037d117baee5c20724220840436b4a877083dfbb99e5d,True,False,,
crash_dd20,P1,2022-10-28,2022-10-31,sell,00631L,3.497730016708374,,,,,False,False,,
strict_no_bear_baseline,P2,2023-01-06,2023-01-09,buy,00631L,4.599999904632568,101.2,TWSE,official_twse_selected_ticker_month_close_only,ae344fe5813274d09777bd729a3186e30a428e9099db6dbe4ecd422fc5512df1,True,False,,
strict_no_bear_baseline,P2,2023-06-09,2023-06-12,sell,00631L,6.125,134.75,TWSE,official_twse_selected_ticker_month_close_only,8db8fd554aeb0fe90b0aa666036b768f27fa37330e8ae93c86d6c1bd8c38865b,True,False,,
strict_no_bear_baseline,P2,2023-06-09,2023-06-12,buy,3231,70.69999694824219,70.7,TWSE,official_twse_raw_execution_ohlcv,020f2c6c520058fac7a5196b90996a608f574999756c8d55fa2bc44ace618289,True,False,,
strict_no_bear_baseline,P2,2023-08-04,2023-08-10,sell,3231,113.5,113.5,TWSE,official_twse_raw_execution_ohlcv,69edd9f473c17ca889079c3293f2b80ba084b470b7a818660ef2f2b9d9e3416f,True,False,,
strict_no_bear_baseline,P2,2023-08-04,2023-08-11,buy,2317,108.5,108.5,TWSE,official_twse_raw_execution_ohlcv,5b8ef5de8f342062a9611c94c5494645400606939791992ab964e8054d4c9109,True,False,,
strict_no_bear_baseline,P2,2023-08-18,2023-08-21,sell,2317,106.0,106.0,TWSE,official_twse_raw_execution_ohlcv,b8cc1ac8fd64c622e9583bccce7804ae4a4a7f9ffdbb6d3c7aa39db1690a48d4,True,False,,
strict_no_bear_baseline,P2,2023-08-18,2023-08-21,buy,00631L,5.818180084228516,128.0,TWSE,official_twse_selected_ticker_month_close_only,e9337cc7bd11193fd9eefa5f3ca2dab96e910399c5cbf4aea8da1d4277e58490,True,False,,
strict_no_bear_baseline,P2,2024-02-09,2024-02-15,sell,00631L,7.509089946746826,165.2,TWSE,official_twse_selected_ticker_month_close_only,1a12b6cbce343fe157e8e13dea8c470d4697f8012f63479700675f492016e69c,True,False,,
strict_no_bear_baseline,P2,2024-02-09,2024-02-15,buy,6669,2345.0,2345.0,TWSE,official_twse_raw_execution_ohlcv,5503eeb83e5eb94dc767a49c5e1db136857d7250af48e17f93d6f0317a1875b3,True,False,,
strict_no_bear_baseline,P2,2024-02-23,2024-02-29,sell,6669,2330.0,2330.0,TWSE,official_twse_raw_execution_ohlcv,23e4be7a3707a2f21b37010bb6cf89d3a345cd8985906c067039805a7bc375e7,True,False,,
strict_no_bear_baseline,P2,2024-02-23,2024-03-01,buy,2454,1105.0,1105.0,TWSE,official_twse_raw_execution_ohlcv,f4aceda805795256e2a95b2b3746a5a4c9fa4b6c6f88f804887276e14ffa9453,True,False,,
strict_no_bear_baseline,P2,2024-03-22,2024-03-25,sell,2454,1120.0,1120.0,TWSE,official_twse_raw_execution_ohlcv,6a209b026710f3feed0eb8f749e9c889b99c3069fbb2c3477f2f6b29fcc01045,True,False,,
strict_no_bear_baseline,P2,2024-03-22,2024-03-25,buy,00631L,8.824999809265137,194.15,TWSE,official_twse_selected_ticker_month_close_only,63d834b73d33bcd817e443cd822c6e5231608d9fc710fafbe24d3db6f6975e92,True,False,,
strict_no_bear_baseline,P2,2024-06-21,2024-06-24,sell,00631L,11.136360168457031,245.0,TWSE,official_twse_selected_ticker_month_close_only,4a263091dc0e3c8a3738a459abb0f17c26f9f340456652ad04d1a993c733a23b,True,False,,
strict_no_bear_baseline,P2,2024-06-21,2024-06-24,buy,2308,376.5,376.5,TWSE,official_twse_raw_execution_ohlcv,c7b59aaa75a12886d68b11508770e813b9b5135cb4d06be954d1f7e9a35c4d0f,True,False,,
strict_no_bear_baseline,P2,2024-07-19,2024-07-23,sell,2308,389.5,389.5,TWSE,official_twse_raw_execution_ohlcv,74399bd0ca633ff34214d9dae732e06ec2cd2edb96de0a1697f3936fc1d06a88,True,False,,
strict_no_bear_baseline,P2,2024-08-02,2024-08-05,buy,00631L,8.040909767150879,176.9,TWSE,official_twse_selected_ticker_month_close_only,26bf493e7e8b7baae14cd29c81c5685c6e5f9e4a202186ae80f6ed01c584d084,True,False,,
strict_no_bear_baseline,P2,2024-11-08,2024-11-11,sell,00631L,11.529549598693848,253.65,TWSE,official_twse_selected_ticker_month_close_only,611238d304869d59195f9771d25459821bcf7c2fd2a7c619b85254ae38bc179c,True,False,,
strict_no_bear_baseline,P2,2024-11-08,2024-11-11,buy,3231,122.0,122.0,TWSE,official_twse_raw_execution_ohlcv,3a5b3a15d8a444fef532d4db3c125ca6d2cbe0fc073ff16f3c6ad77128605762,True,False,,
strict_no_bear_baseline,P2,2024-11-22,2024-11-29,sell,3231,113.5,113.5,TWSE,official_twse_raw_execution_ohlcv,5d9e7c1e7235a19080161e5a1d1ae2249f4aacd2e8a9b19a91cb656b2c3eab69,True,False,,
strict_no_bear_baseline,P2,2024-11-29,2024-12-03,buy,2454,1315.0,1315.0,TWSE,official_twse_raw_execution_ohlcv,7d76d6287814a8ccfc0694334726d195a7674d7833a947983abbf3c7229f21d3,True,False,,
strict_no_bear_baseline,P2,2024-12-20,2024-12-23,sell,2454,1410.0,1410.0,TWSE,official_twse_raw_execution_ohlcv,1c76fea278231bef57e552cc1241a527c1407a98763a2a54e7ebb263a14e3d63,True,False,,
strict_no_bear_baseline,P2,2024-12-20,2024-12-23,buy,00631L,11.04090976715088,242.9,TWSE,official_twse_selected_ticker_month_close_only,89a179b306fc1f489d75a43884d2a5960066dbea1740d9ef88dab21117c20d98,True,False,,
strict_no_bear_baseline,P2,2026-05-22,2026-05-25,sell,00631L,34.560001373291016,34.56,TWSE,official_twse_selected_ticker_month_close_only,7ce71560d30f81fc612e89c0c854569cd976838eb03ac6e6a7771bb03b63bd4e,True,False,,
strict_no_bear_baseline,P2,2026-05-22,2026-05-25,buy,2454,4245.0,4245.0,TWSE,official_twse_raw_execution_ohlcv,a7b343adce4bb36a2b7a5eb23632d435bf3809f5ee57104d1870348d908d9ba2,True,False,,
strict_no_bear_baseline,P2,2026-06-19,2026-06-25,sell,2454,4310.0,4310.0,TWSE,official_twse_raw_execution_ohlcv,e822c8e7df15fa8335394db4db00448bc7fdf331cffca371277a256c3feacec3,True,False,,
strict_no_bear_baseline,P2,2026-06-19,2026-06-26,buy,3231,153.0,153.0,TWSE,official_twse_raw_execution_ohlcv,3efe8f7bd135f3f813c2eda03bb84687dcef4125b3fba27be282829876d36ac1,True,False,,
current_score,P2,2023-01-06,2023-01-09,buy,00631L,4.599999904632568,101.2,TWSE,official_twse_selected_ticker_month_close_only,ae344fe5813274d09777bd729a3186e30a428e9099db6dbe4ecd422fc5512df1,True,False,,
current_score,P2,2023-06-09,2023-06-12,sell,00631L,6.125,134.75,TWSE,official_twse_selected_ticker_month_close_only,8db8fd554aeb0fe90b0aa666036b768f27fa37330e8ae93c86d6c1bd8c38865b,True,False,,
current_score,P2,2023-06-09,2023-06-12,buy,3231,70.69999694824219,70.7,TWSE,official_twse_raw_execution_ohlcv,020f2c6c520058fac7a5196b90996a608f574999756c8d55fa2bc44ace618289,True,False,,
current_score,P2,2023-08-04,2023-08-10,sell,3231,113.5,113.5,TWSE,official_twse_raw_execution_ohlcv,69edd9f473c17ca889079c3293f2b80ba084b470b7a818660ef2f2b9d9e3416f,True,False,,
current_score,P2,2023-08-04,2023-08-11,buy,2317,108.5,108.5,TWSE,official_twse_raw_execution_ohlcv,5b8ef5de8f342062a9611c94c5494645400606939791992ab964e8054d4c9109,True,False,,
current_score,P2,2023-08-18,2023-08-21,sell,2317,106.0,106.0,TWSE,official_twse_raw_execution_ohlcv,b8cc1ac8fd64c622e9583bccce7804ae4a4a7f9ffdbb6d3c7aa39db1690a48d4,True,False,,
current_score,P2,2023-08-18,2023-08-21,buy,00631L,5.818180084228516,128.0,TWSE,official_twse_selected_ticker_month_close_only,e9337cc7bd11193fd9eefa5f3ca2dab96e910399c5cbf4aea8da1d4277e58490,True,False,,
current_score,P2,2024-02-09,2024-02-15,sell,00631L,7.509089946746826,165.2,TWSE,official_twse_selected_ticker_month_close_only,1a12b6cbce343fe157e8e13dea8c470d4697f8012f63479700675f492016e69c,True,False,,
current_score,P2,2024-02-09,2024-02-15,buy,6669,2345.0,2345.0,TWSE,official_twse_raw_execution_ohlcv,5503eeb83e5eb94dc767a49c5e1db136857d7250af48e17f93d6f0317a1875b3,True,False,,
current_score,P2,2024-02-23,2024-02-29,sell,6669,2330.0,2330.0,TWSE,official_twse_raw_execution_ohlcv,23e4be7a3707a2f21b37010bb6cf89d3a345cd8985906c067039805a7bc375e7,True,False,,
current_score,P2,2024-02-23,2024-03-01,buy,2454,1105.0,1105.0,TWSE,official_twse_raw_execution_ohlcv,f4aceda805795256e2a95b2b3746a5a4c9fa4b6c6f88f804887276e14ffa9453,True,False,,
current_score,P2,2024-03-22,2024-03-25,sell,2454,1120.0,1120.0,TWSE,official_twse_raw_execution_ohlcv,6a209b026710f3feed0eb8f749e9c889b99c3069fbb2c3477f2f6b29fcc01045,True,False,,
current_score,P2,2024-03-22,2024-03-25,buy,00631L,8.824999809265137,194.15,TWSE,official_twse_selected_ticker_month_close_only,63d834b73d33bcd817e443cd822c6e5231608d9fc710fafbe24d3db6f6975e92,True,False,,
current_score,P2,2024-06-21,2024-06-24,sell,00631L,11.136360168457031,245.0,TWSE,official_twse_selected_ticker_month_close_only,4a263091dc0e3c8a3738a459abb0f17c26f9f340456652ad04d1a993c733a23b,True,False,,
current_score,P2,2024-06-21,2024-06-24,buy,2308,376.5,376.5,TWSE,official_twse_raw_execution_ohlcv,c7b59aaa75a12886d68b11508770e813b9b5135cb4d06be954d1f7e9a35c4d0f,True,False,,
current_score,P2,2024-07-19,2024-07-23,sell,2308,389.5,389.5,TWSE,official_twse_raw_execution_ohlcv,74399bd0ca633ff34214d9dae732e06ec2cd2edb96de0a1697f3936fc1d06a88,True,False,,
current_score,P2,2024-08-02,2024-08-05,buy,00631L,8.040909767150879,176.9,TWSE,official_twse_selected_ticker_month_close_only,26bf493e7e8b7baae14cd29c81c5685c6e5f9e4a202186ae80f6ed01c584d084,True,False,,
current_score,P2,2024-11-08,2024-11-11,sell,00631L,11.529549598693848,253.65,TWSE,official_twse_selected_ticker_month_close_only,611238d304869d59195f9771d25459821bcf7c2fd2a7c619b85254ae38bc179c,True,False,,
current_score,P2,2024-11-08,2024-11-11,buy,3231,122.0,122.0,TWSE,official_twse_raw_execution_ohlcv,3a5b3a15d8a444fef532d4db3c125ca6d2cbe0fc073ff16f3c6ad77128605762,True,False,,
current_score,P2,2024-11-22,2024-11-29,sell,3231,113.5,113.5,TWSE,official_twse_raw_execution_ohlcv,5d9e7c1e7235a19080161e5a1d1ae2249f4aacd2e8a9b19a91cb656b2c3eab69,True,False,,
current_score,P2,2024-11-29,2024-12-03,buy,2454,1315.0,1315.0,TWSE,official_twse_raw_execution_ohlcv,7d76d6287814a8ccfc0694334726d195a7674d7833a947983abbf3c7229f21d3,True,False,,
current_score,P2,2024-12-20,2024-12-23,sell,2454,1410.0,1410.0,TWSE,official_twse_raw_execution_ohlcv,1c76fea278231bef57e552cc1241a527c1407a98763a2a54e7ebb263a14e3d63,True,False,,
current_score,P2,2024-12-20,2024-12-23,buy,00631L,11.04090976715088,242.9,TWSE,official_twse_selected_ticker_month_close_only,89a179b306fc1f489d75a43884d2a5960066dbea1740d9ef88dab21117c20d98,True,False,,
current_score,P2,2025-04-25,2025-04-28,sell,00631L,7.629549980163574,167.85,TWSE,official_twse_selected_ticker_month_close_only,7224735c0b8525a6e2231f8a1e5c8a69336b1413a97de2fbe4846fac67454727,True,False,,
current_score,P2,2025-06-06,2025-06-09,buy,00631L,9.050000190734863,199.1,TWSE,official_twse_selected_ticker_month_close_only,b002c20ab4a8c9ed7d557a88ef467bad2816114bd213883b7eba3f0a9bd04b81,True,False,,
current_score,P2,2026-05-22,2026-05-25,sell,00631L,34.560001373291016,34.56,TWSE,official_twse_selected_ticker_month_close_only,7ce71560d30f81fc612e89c0c854569cd976838eb03ac6e6a7771bb03b63bd4e,True,False,,
current_score,P2,2026-05-22,2026-05-25,buy,2454,4245.0,4245.0,TWSE,official_twse_raw_execution_ohlcv,a7b343adce4bb36a2b7a5eb23632d435bf3809f5ee57104d1870348d908d9ba2,True,False,,
current_score,P2,2026-06-19,2026-06-25,sell,2454,4310.0,4310.0,TWSE,official_twse_raw_execution_ohlcv,e822c8e7df15fa8335394db4db00448bc7fdf331cffca371277a256c3feacec3,True,False,,
current_score,P2,2026-06-19,2026-06-26,buy,3231,153.0,153.0,TWSE,official_twse_raw_execution_ohlcv,3efe8f7bd135f3f813c2eda03bb84687dcef4125b3fba27be282829876d36ac1,True,False,,
trend_dd10,P2,2023-01-06,2023-01-09,buy,00631L,4.599999904632568,101.2,TWSE,official_twse_selected_ticker_month_close_only,ae344fe5813274d09777bd729a3186e30a428e9099db6dbe4ecd422fc5512df1,True,False,,
trend_dd10,P2,2023-06-09,2023-06-12,sell,00631L,6.125,134.75,TWSE,official_twse_selected_ticker_month_close_only,8db8fd554aeb0fe90b0aa666036b768f27fa37330e8ae93c86d6c1bd8c38865b,True,False,,
trend_dd10,P2,2023-06-09,2023-06-12,buy,3231,70.69999694824219,70.7,TWSE,official_twse_raw_execution_ohlcv,020f2c6c520058fac7a5196b90996a608f574999756c8d55fa2bc44ace618289,True,False,,
trend_dd10,P2,2023-08-04,2023-08-10,sell,3231,113.5,113.5,TWSE,official_twse_raw_execution_ohlcv,69edd9f473c17ca889079c3293f2b80ba084b470b7a818660ef2f2b9d9e3416f,True,False,,
trend_dd10,P2,2023-08-04,2023-08-11,buy,2317,108.5,108.5,TWSE,official_twse_raw_execution_ohlcv,5b8ef5de8f342062a9611c94c5494645400606939791992ab964e8054d4c9109,True,False,,
trend_dd10,P2,2023-08-18,2023-08-21,sell,2317,106.0,106.0,TWSE,official_twse_raw_execution_ohlcv,b8cc1ac8fd64c622e9583bccce7804ae4a4a7f9ffdbb6d3c7aa39db1690a48d4,True,False,,
trend_dd10,P2,2023-08-18,2023-08-21,buy,00631L,5.818180084228516,128.0,TWSE,official_twse_selected_ticker_month_close_only,e9337cc7bd11193fd9eefa5f3ca2dab96e910399c5cbf4aea8da1d4277e58490,True,False,,
trend_dd10,P2,2024-02-09,2024-02-15,sell,00631L,7.509089946746826,165.2,TWSE,official_twse_selected_ticker_month_close_only,1a12b6cbce343fe157e8e13dea8c470d4697f8012f63479700675f492016e69c,True,False,,
trend_dd10,P2,2024-02-09,2024-02-15,buy,6669,2345.0,2345.0,TWSE,official_twse_raw_execution_ohlcv,5503eeb83e5eb94dc767a49c5e1db136857d7250af48e17f93d6f0317a1875b3,True,False,,
trend_dd10,P2,2024-02-23,2024-02-29,sell,6669,2330.0,2330.0,TWSE,official_twse_raw_execution_ohlcv,23e4be7a3707a2f21b37010bb6cf89d3a345cd8985906c067039805a7bc375e7,True,False,,
trend_dd10,P2,2024-02-23,2024-03-01,buy,2454,1105.0,1105.0,TWSE,official_twse_raw_execution_ohlcv,f4aceda805795256e2a95b2b3746a5a4c9fa4b6c6f88f804887276e14ffa9453,True,False,,
trend_dd10,P2,2024-03-22,2024-03-25,sell,2454,1120.0,1120.0,TWSE,official_twse_raw_execution_ohlcv,6a209b026710f3feed0eb8f749e9c889b99c3069fbb2c3477f2f6b29fcc01045,True,False,,
trend_dd10,P2,2024-03-22,2024-03-25,buy,00631L,8.824999809265137,194.15,TWSE,official_twse_selected_ticker_month_close_only,63d834b73d33bcd817e443cd822c6e5231608d9fc710fafbe24d3db6f6975e92,True,False,,
trend_dd10,P2,2024-06-21,2024-06-24,sell,00631L,11.136360168457031,245.0,TWSE,official_twse_selected_ticker_month_close_only,4a263091dc0e3c8a3738a459abb0f17c26f9f340456652ad04d1a993c733a23b,True,False,,
trend_dd10,P2,2024-06-21,2024-06-24,buy,2308,376.5,376.5,TWSE,official_twse_raw_execution_ohlcv,c7b59aaa75a12886d68b11508770e813b9b5135cb4d06be954d1f7e9a35c4d0f,True,False,,
trend_dd10,P2,2024-07-19,2024-07-23,sell,2308,389.5,389.5,TWSE,official_twse_raw_execution_ohlcv,74399bd0ca633ff34214d9dae732e06ec2cd2edb96de0a1697f3936fc1d06a88,True,False,,
trend_dd10,P2,2024-08-02,2024-08-05,buy,00631L,8.040909767150879,176.9,TWSE,official_twse_selected_ticker_month_close_only,26bf493e7e8b7baae14cd29c81c5685c6e5f9e4a202186ae80f6ed01c584d084,True,False,,
trend_dd10,P2,2024-11-08,2024-11-11,sell,00631L,11.529549598693848,253.65,TWSE,official_twse_selected_ticker_month_close_only,611238d304869d59195f9771d25459821bcf7c2fd2a7c619b85254ae38bc179c,True,False,,
trend_dd10,P2,2024-11-08,2024-11-11,buy,3231,122.0,122.0,TWSE,official_twse_raw_execution_ohlcv,3a5b3a15d8a444fef532d4db3c125ca6d2cbe0fc073ff16f3c6ad77128605762,True,False,,
trend_dd10,P2,2024-11-22,2024-11-29,sell,3231,113.5,113.5,TWSE,official_twse_raw_execution_ohlcv,5d9e7c1e7235a19080161e5a1d1ae2249f4aacd2e8a9b19a91cb656b2c3eab69,True,False,,
trend_dd10,P2,2024-11-29,2024-12-03,buy,2454,1315.0,1315.0,TWSE,official_twse_raw_execution_ohlcv,7d76d6287814a8ccfc0694334726d195a7674d7833a947983abbf3c7229f21d3,True,False,,
trend_dd10,P2,2024-12-20,2024-12-23,sell,2454,1410.0,1410.0,TWSE,official_twse_raw_execution_ohlcv,1c76fea278231bef57e552cc1241a527c1407a98763a2a54e7ebb263a14e3d63,True,False,,
trend_dd10,P2,2024-12-20,2024-12-23,buy,00631L,11.04090976715088,242.9,TWSE,official_twse_selected_ticker_month_close_only,89a179b306fc1f489d75a43884d2a5960066dbea1740d9ef88dab21117c20d98,True,False,,
trend_dd10,P2,2025-04-25,2025-04-28,sell,00631L,7.629549980163574,167.85,TWSE,official_twse_selected_ticker_month_close_only,7224735c0b8525a6e2231f8a1e5c8a69336b1413a97de2fbe4846fac67454727,True,False,,
trend_dd10,P2,2025-06-20,2025-06-23,buy,00631L,9.113639831542969,200.5,TWSE,official_twse_selected_ticker_month_close_only,b002c20ab4a8c9ed7d557a88ef467bad2816114bd213883b7eba3f0a9bd04b81,True,False,,
trend_dd10,P2,2026-05-22,2026-05-25,sell,00631L,34.560001373291016,34.56,TWSE,official_twse_selected_ticker_month_close_only,7ce71560d30f81fc612e89c0c854569cd976838eb03ac6e6a7771bb03b63bd4e,True,False,,
trend_dd10,P2,2026-05-22,2026-05-25,buy,2454,4245.0,4245.0,TWSE,official_twse_raw_execution_ohlcv,a7b343adce4bb36a2b7a5eb23632d435bf3809f5ee57104d1870348d908d9ba2,True,False,,
trend_dd10,P2,2026-06-19,2026-06-25,sell,2454,4310.0,4310.0,TWSE,official_twse_raw_execution_ohlcv,e822c8e7df15fa8335394db4db00448bc7fdf331cffca371277a256c3feacec3,True,False,,
trend_dd10,P2,2026-06-19,2026-06-26,buy,3231,153.0,153.0,TWSE,official_twse_raw_execution_ohlcv,3efe8f7bd135f3f813c2eda03bb84687dcef4125b3fba27be282829876d36ac1,True,False,,
crash_dd20,P2,2023-01-06,2023-01-09,buy,00631L,4.599999904632568,101.2,TWSE,official_twse_selected_ticker_month_close_only,ae344fe5813274d09777bd729a3186e30a428e9099db6dbe4ecd422fc5512df1,True,False,,
crash_dd20,P2,2023-06-09,2023-06-12,sell,00631L,6.125,134.75,TWSE,official_twse_selected_ticker_month_close_only,8db8fd554aeb0fe90b0aa666036b768f27fa37330e8ae93c86d6c1bd8c38865b,True,False,,
crash_dd20,P2,2023-06-09,2023-06-12,buy,3231,70.69999694824219,70.7,TWSE,official_twse_raw_execution_ohlcv,020f2c6c520058fac7a5196b90996a608f574999756c8d55fa2bc44ace618289,True,False,,
crash_dd20,P2,2023-08-04,2023-08-10,sell,3231,113.5,113.5,TWSE,official_twse_raw_execution_ohlcv,69edd9f473c17ca889079c3293f2b80ba084b470b7a818660ef2f2b9d9e3416f,True,False,,
crash_dd20,P2,2023-08-04,2023-08-11,buy,2317,108.5,108.5,TWSE,official_twse_raw_execution_ohlcv,5b8ef5de8f342062a9611c94c5494645400606939791992ab964e8054d4c9109,True,False,,
crash_dd20,P2,2023-08-18,2023-08-21,sell,2317,106.0,106.0,TWSE,official_twse_raw_execution_ohlcv,b8cc1ac8fd64c622e9583bccce7804ae4a4a7f9ffdbb6d3c7aa39db1690a48d4,True,False,,
crash_dd20,P2,2023-08-18,2023-08-21,buy,00631L,5.818180084228516,128.0,TWSE,official_twse_selected_ticker_month_close_only,e9337cc7bd11193fd9eefa5f3ca2dab96e910399c5cbf4aea8da1d4277e58490,True,False,,
crash_dd20,P2,2024-02-09,2024-02-15,sell,00631L,7.509089946746826,165.2,TWSE,official_twse_selected_ticker_month_close_only,1a12b6cbce343fe157e8e13dea8c470d4697f8012f63479700675f492016e69c,True,False,,
crash_dd20,P2,2024-02-09,2024-02-15,buy,6669,2345.0,2345.0,TWSE,official_twse_raw_execution_ohlcv,5503eeb83e5eb94dc767a49c5e1db136857d7250af48e17f93d6f0317a1875b3,True,False,,
crash_dd20,P2,2024-02-23,2024-02-29,sell,6669,2330.0,2330.0,TWSE,official_twse_raw_execution_ohlcv,23e4be7a3707a2f21b37010bb6cf89d3a345cd8985906c067039805a7bc375e7,True,False,,
crash_dd20,P2,2024-02-23,2024-03-01,buy,2454,1105.0,1105.0,TWSE,official_twse_raw_execution_ohlcv,f4aceda805795256e2a95b2b3746a5a4c9fa4b6c6f88f804887276e14ffa9453,True,False,,
crash_dd20,P2,2024-03-22,2024-03-25,sell,2454,1120.0,1120.0,TWSE,official_twse_raw_execution_ohlcv,6a209b026710f3feed0eb8f749e9c889b99c3069fbb2c3477f2f6b29fcc01045,True,False,,
crash_dd20,P2,2024-03-22,2024-03-25,buy,00631L,8.824999809265137,194.15,TWSE,official_twse_selected_ticker_month_close_only,63d834b73d33bcd817e443cd822c6e5231608d9fc710fafbe24d3db6f6975e92,True,False,,
crash_dd20,P2,2024-06-21,2024-06-24,sell,00631L,11.136360168457031,245.0,TWSE,official_twse_selected_ticker_month_close_only,4a263091dc0e3c8a3738a459abb0f17c26f9f340456652ad04d1a993c733a23b,True,False,,
crash_dd20,P2,2024-06-21,2024-06-24,buy,2308,376.5,376.5,TWSE,official_twse_raw_execution_ohlcv,c7b59aaa75a12886d68b11508770e813b9b5135cb4d06be954d1f7e9a35c4d0f,True,False,,
crash_dd20,P2,2024-07-19,2024-07-23,sell,2308,389.5,389.5,TWSE,official_twse_raw_execution_ohlcv,74399bd0ca633ff34214d9dae732e06ec2cd2edb96de0a1697f3936fc1d06a88,True,False,,
crash_dd20,P2,2024-08-02,2024-08-05,buy,00631L,8.040909767150879,176.9,TWSE,official_twse_selected_ticker_month_close_only,26bf493e7e8b7baae14cd29c81c5685c6e5f9e4a202186ae80f6ed01c584d084,True,False,,
crash_dd20,P2,2024-11-08,2024-11-11,sell,00631L,11.529549598693848,253.65,TWSE,official_twse_selected_ticker_month_close_only,611238d304869d59195f9771d25459821bcf7c2fd2a7c619b85254ae38bc179c,True,False,,
crash_dd20,P2,2024-11-08,2024-11-11,buy,3231,122.0,122.0,TWSE,official_twse_raw_execution_ohlcv,3a5b3a15d8a444fef532d4db3c125ca6d2cbe0fc073ff16f3c6ad77128605762,True,False,,
crash_dd20,P2,2024-11-22,2024-11-29,sell,3231,113.5,113.5,TWSE,official_twse_raw_execution_ohlcv,5d9e7c1e7235a19080161e5a1d1ae2249f4aacd2e8a9b19a91cb656b2c3eab69,True,False,,
crash_dd20,P2,2024-11-29,2024-12-03,buy,2454,1315.0,1315.0,TWSE,official_twse_raw_execution_ohlcv,7d76d6287814a8ccfc0694334726d195a7674d7833a947983abbf3c7229f21d3,True,False,,
